OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity
1/1/2017,12/13/2003,SO61285,529,23791,1,2,2
1/1/2017,9/24/2003,SO61285,214,23791,1,3,1
1/1/2017,9/4/2003,SO61285,540,23791,1,1,1
1/1/2017,9/28/2003,SO61301,529,16747,1,2,2
1/1/2017,10/21/2003,SO61301,377,16747,1,1,1
1/1/2017,10/23/2003,SO61301,540,16747,1,3,1
1/1/2017,9/4/2003,SO61269,215,11792,4,1,1
1/1/2017,10/21/2003,SO61269,229,11792,4,2,1
1/1/2017,10/24/2003,SO61286,528,11530,6,2,2
1/1/2017,9/27/2003,SO61286,536,11530,6,1,2
1/1/2017,10/23/2003,SO61298,530,18155,10,1,2
1/1/2017,12/2/2003,SO61298,214,18155,10,3,1
1/1/2017,12/15/2003,SO61298,223,18155,10,2,1
1/1/2017,10/1/2003,SO61310,538,13541,8,2,2
1/1/2017,11/8/2003,SO61310,584,13541,8,1,1
1/1/2017,12/6/2003,SO61270,485,18259,9,1,2
1/1/2017,10/31/2003,SO61289,528,23694,1,1,2
1/1/2017,11/16/2003,SO61289,536,23694,1,2,2
1/1/2017,11/20/2003,SO61289,215,23694,1,3,1
1/1/2017,10/12/2003,SO61278,477,22308,10,3,2
1/1/2017,9/28/2003,SO61278,479,22308,10,2,1
1/1/2017,12/10/2003,SO61278,488,22308,10,4,1
1/1/2017,9/25/2003,SO61278,580,22308,10,1,1
1/1/2017,10/1/2003,SO61305,583,20236,9,1,1
1/1/2017,9/13/2003,SO61283,529,26273,1,2,2
